2019-09-29 18:17:05,099 [Worker-2] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: TrainsJavaSL:TrainsJavaSL:0.0.1-SNAPSHOT @ C:\Users\saral\OneDrive\Documentos\GitHub\train\TrainsJavaSL\pom.xml.
2019-09-29 18:17:06,404 [Worker-2] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /TrainsJavaSL/src
2019-09-29 18:17:06,404 [Worker-2] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /TrainsJavaSL/src/test/java because it overlaps with /TrainsJavaSL/src
2019-09-29 18:17:06,509 [Worker-2] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 5 sec
2019-09-29 18:17:07,327 [Worker-1] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: TrainsJavaSL:TrainsJavaSL:0.0.1-SNAPSHOT @ C:\Users\saral\OneDrive\Documentos\GitHub\train\TrainsJavaSL\pom.xml.
2019-09-29 18:17:09,173 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-09-29 18:17:09,173 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\saral\OneDrive\Documentos\GitHub\train\TrainsJavaSL\src\main\resources
2019-09-29 18:17:09,181 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-09-29 18:17:09,181 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\saral\OneDrive\Documentos\GitHub\train\TrainsJavaSL\src\test\resources
2019-09-29 18:17:10,340 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-09-29 18:17:10,341 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\saral\OneDrive\Documentos\GitHub\train\TrainsJavaSL\src\main\resources
2019-09-29 18:17:10,341 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-09-29 18:17:10,341 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\saral\OneDrive\Documentos\GitHub\train\TrainsJavaSL\src\test\resources
2019-09-29 18:19:22,981 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-09-29 18:19:22,983 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\saral\OneDrive\Documentos\GitHub\train\TrainsJavaSL\src\main\resources
2019-09-29 18:19:22,984 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-09-29 18:19:22,984 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\saral\OneDrive\Documentos\GitHub\train\TrainsJavaSL\src\test\resources
2019-09-29 19:08:31,870 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
